n03,n21,21
n38,n21,9
n50,n21,65
n36,n03,39
n36,n38,40
n36,n50,108
n38,n03,9
n38,n50,30
n03,n45,44
n40,n21,21
n08,n40,139
n40,n06,12
n08,n21,145
n21,n06,11
n08,n06,137
n08,n22,31
n06,n22,5
n36,n22,8
n22,n59,6
n26,n22,3
n11,n22,32
n18,n22,35
n36,n06,19
n06,n59,29
n26,n06,21
n11,n06,160
n18,n06,239
n36,n59,30
n36,n26,109
n26,n59,30
n26,n11,150
n08,n38,73
n38,n11,56
n38,n12,47
n38,n18,58
n40,n47,75
n32,n03,90
n23,n76,13
n37,n76,17
n45,n76,13
n34,n76,5
n50,n76,26
n29,n76,8
n18,n76,25
n34,n45,45
n34,n29,29
n23,n15,20
n23,n48,8
n37,n75,48
n37,n15,20
n37,n48,4
n37,n05,15
n08,n15,78
n08,n48,20
n75,n15,10
n75,n29,33
n75,n48,2
n75,n05,10
n15,n29,13
n15,n48,3
n11,n15,51
n15,n05,18
n18,n15,75
n48,n29,1
n29,n05,7
n11,n48,21
n48,n05,2
n18,n48,28
n32,n06,33
n50,n06,43
n14,n60,8
n60,n61,19
n60,n53,12
n14,n61,5
n14,n53,32
n08,n61,48
n08,n53,123
n61,n53,6
n11,n61,30
n18,n61,58
n18,n53,182
n12,n06,100
n47,n06,42
n59,n46,4
n68,n12,37
n68,n46,2
n12,n46,18
n18,n46,30
n26,n23,85
n32,n46,5
n53,n46,9
n36,n48,3
n36,n47,118
n12,n66,16
n08,n66,23
n14,n66,4
n32,n14,42
n32,n15,12
n15,n14,13
n75,n40,28
n21,n29,41
n38,n14,12
n26,n14,33
n38,n53,6
n26,n38,23
n26,n53,17
n26,n12,127
n75,n38,21
n75,n22,3
n53,n22,13
n16,n22,6
n04,n22,22
n36,n75,46
n36,n53,17
n36,n16,24
n75,n16,17
n16,n53,9
n04,n53,74
n32,n40,57
n23,n40,64
n40,n66,3
n36,n40,77
n40,n03,33
n40,n53,5
n50,n40,73
n40,n59,16
n40,n48,1
n04,n40,103
n40,n12,69
n32,n66,6
n36,n32,82
n32,n48,3
n23,n66,9
n36,n66,3
n03,n66,2
n47,n66,2
n66,n53,9
n50,n66,7
n66,n59,6
n48,n66,1
n04,n66,12
n03,n53,15
n03,n48,2
n47,n53,39
n47,n48,9
n50,n53,46
n48,n53,32
n50,n59,37
n50,n48,6
n48,n59,4
n04,n59,103
n04,n48,10
n12,n48,21
n37,n03,84
n37,n39,77
n36,n39,31
n39,n53,15
n32,n16,35
n16,n14,24
n68,n16,7
n12,n22,25
n15,n09,7
n16,n09,5
n47,n09,25
n47,n16,45
n45,n77,9
n56,n45,12
n56,n77,1
n32,n77,16
n32,n56,10
n50,n33,7
n50,n72,7
n72,n63,3
n40,n60,3
n40,n14,17
n40,n52,4
n18,n40,133
n60,n52,27
n50,n60,22
n14,n52,1
n08,n52,41
n50,n52,28
n11,n52,32
n18,n52,47
n35,n55,1
n35,n03,16
n35,n12,25
n35,n18,53
n63,n78,8
n03,n63,31
n11,n63,42
n63,n70,7
n12,n63,23
n03,n78,9
n11,n78,10
n78,n70,2
n12,n78,6
n03,n70,6
n11,n70,10
n12,n70,6
n40,n33,1
n26,n40,45
n26,n33,5
n08,n02,28
n16,n02,2
n18,n02,27
n68,n75,21
n11,n56,12
n63,n76,12
n37,n60,20
n37,n16,57
n45,n60,11
n16,n60,3
n04,n60,41
n16,n45,44
n75,n06,12
n06,n53,10
n15,n06,7
n48,n06,1
n15,n53,24
n26,n15,7
n26,n48,2
n35,n40,7
n40,n45,53
n35,n45,18
n35,n11,44
n26,n34,40
n24,n14,5
n50,n24,34
n26,n47,98
n57,n47,57
n34,n57,17
n26,n50,102
n57,n59,4
n26,n57,19
n11,n57,56
n26,n32,70
n75,n45,48
n16,n52,1
n03,n61,7
n47,n61,13
n37,n26,68
n28,n59,3
n18,n28,43
n37,n40,66
n39,n14,25
n29,n14,13
n29,n39,27
n29,n53,14
n04,n26,119
n26,n24,55
n23,n07,10
n37,n07,8
n08,n07,28
n29,n07,5
n37,n32,165
n68,n23,40
n37,n68,36
n11,n66,29
n18,n66,27
n08,n35,55
n29,n60,7
n29,n77,8
n36,n35,17
n35,n69,3
n35,n50,32
n08,n69,16
n36,n69,10
n50,n69,15
n11,n69,17
n12,n69,12
n18,n69,23
n28,n47,19
n04,n28,20
n37,n47,201
n26,n52,10
n26,n54,1
n34,n05,4
n39,n66,2
n26,n28,25
n26,n03,25
n37,n77,13
n68,n26,43
n75,n39,7
n35,n47,26
n04,n35,42
n16,n59,10
n36,n68,45
n68,n47,50
n18,n21,159
n47,n21,67
n04,n38,42
n38,n24,14
n64,n40,14
n08,n64,53
n64,n11,33
n64,n18,46
n03,n34,28
n60,n62,9
n62,n61,16
n52,n61,21
n26,n29,44
n38,n29,18
n15,n45,11
n26,n45,68
n36,n15,8
n03,n15,11
n50,n15,19
n40,n63,11
n38,n40,28
n32,n63,43
n32,n38,20
n23,n63,36
n23,n38,22
n37,n63,30
n45,n63,27
n36,n63,12
n38,n63,5
n37,n38,29
n38,n45,28
n40,n39,23
n23,n14,44
n11,n21,134
n24,n16,7
n38,n09,3
n68,n38,17
n68,n03,19
n75,n03,22
n18,n67,7
n47,n67,6
n36,n78,5
n50,n78,8
n23,n21,83
n37,n21,107
n75,n21,25
n21,n53,21
n21,n16,19
n04,n21,126
n12,n21,101
n37,n53,34
n75,n50,58
n34,n16,13
n21,n49,2
n21,n05,9
n21,n45,66
n26,n21,24
n26,n63,15
n24,n63,1
n05,n63,1
n37,n30,1
n37,n57,31
n26,n30,2
n04,n30,1
n26,n05,11
n24,n57,6
n57,n05,7
n24,n05,2
n37,n59,48
n15,n59,8
n04,n15,33
n05,n59,7
n21,n69,3
n08,n76,33
n11,n76,26
n40,n77,6
n40,n72,3
n08,n77,17
n72,n77,1
n08,n72,5
n38,n19,1
n08,n19,17
n35,n15,2
n35,n14,3
n64,n12,10
n08,n63,48
n32,n13,2
n21,n13,2
n08,n13,9
n16,n13,1
n11,n13,16
n18,n13,15
n35,n59,8
n38,n47,41
n38,n16,10
n04,n52,33
n29,n52,8
n36,n09,18
n14,n45,38
n45,n53,20
n38,n39,4
n26,n39,29
n03,n49,2
n18,n49,5
n32,n35,27
n32,n28,18
n32,n52,21
n35,n21,11
n28,n21,8
n21,n59,27
n24,n21,8
n37,n35,29
n35,n28,5
n35,n52,4
n35,n24,4
n37,n28,12
n37,n52,21
n28,n52,2
n50,n28,19
n28,n24,9
n28,n12,27
n52,n59,7
n24,n52,3
n12,n52,28
n36,n52,16
n03,n52,11
n57,n22,4
n40,n24,27
n35,n39,12
n23,n06,49
n06,n45,19
n06,n16,16
n04,n06,73
n26,n07,3
n40,n29,38
n39,n45,52
n47,n29,88
n47,n63,34
n29,n63,17
n47,n78,6
